Title,Perusahaan,Kategori,Lokasi,Skills
Research & Development (Mom&Baby food),Little Joy Indonesia,Project & Product Management,Jakarta,"Product Research, Research & Development (R&D), Research, Product Development"
Study Advisor (Telemarketing) Tangerang,Cakap,Sales & Business Development,Tangerang,"Marketing Strategy, Sales Strategy & Management, Marketing, Marketing Communications, Sales & Marketing"
IT Security Engineer,Indocyber Global Teknologi,IT Engineer,Jakarta,"Information Security, Security, Network Security, Cyber Security"
Fleet Acquisition Associate (Remote from Semarang and Bandung preferred),Deliveree On-Demand Logistics (Southeast Asia),Logistics & Operations,Solo City,"Vendor Management, Communication Skills, Negotiation"
Fresh Graduate Management Trainee in AI SEO Department,Deliveree On-Demand Logistics (Southeast Asia),Marketing & PR,Jakarta,"Marketing Strategy, Digital Marketing, Creative Writing, Analytical Skills, SEO"
Digital Marketing Specialist,Boleh Dicoba Digital,Marketing & PR,Jakarta,"Facebook Advertising, Data Visualization, Advertising, Analytics & Reporting, Data Management, Digital Marketing, Social Media, Google Analytics, Analytical Skills, Communication Skills, Data Analysis"
Data Analyst (Game Industry),SIGMATECH,Data & Analytics,Jakarta,"PowerBI, SQL Server, SQL, Tableau"
Account Director,Boleh Dicoba Digital,Project & Product Management,"Bandung, Java","Business Development & Partnerships, Presentation Skills, Marketing Strategy, Client Relations, Sales Strategy & Management, Analytics & Reporting, Business Analysis, Digital Marketing, Business Development, Project Leader, Business Strategy, Analytical Skills, Communication Skills, Data Analysis, Marketing Communications, Sales & Marketing, Project Management"
Project Manager - Software Company (English Speaker),SIGMATECH,Project & Product Management,Jakarta,"Agile, Agile Software Development, Jira, SDLC, Agile Project Management, Project Management"
Content Creator Freelance,Boleh Dicoba Digital,Media & Journalism,"Bandung, Java","Content Marketing, Content Management, Communication Skills, Video Editing, Content Creation, Content Strategy"
Study Advisor (Telesales) Lampung,Cakap,Sales & Business Development,Bandar Lampung,"Digital Marketing, Marketing, Marketing Communications, Sales & Marketing"
Study Advisor (Telesales) Yogyakarta,Cakap,Sales & Business Development,Yogyakarta,"Sales Strategy & Management, Marketing, Marketing Communications, Sales & Marketing"
Customer Experience Specialist,ICHIGO Indonesia,Customer Success,Jakarta,"Microsoft PowerPoint, Help Desk, Customer Experience, Customer Service, Microsoft Office, Zendesk, Microsoft Excel, Copywriting, Microsoft, Customer Relationship Management, English Language"
Full Stack Engineer - AI,Ledgerowl,Software Engineer,Jakarta,"React.js, Kafka, Amazon Web Services (AWS), Azure, Python, LLM, Docker, Artificial Intelligence (AI), Next.js, LangChain"
Fullstack Developer (Banking Placment - SCBD Jakarta),SIGMATECH,IT Engineer,Jakarta,"React.js, TypeScript, Golang, Next.js"
Content Creator Intern,Little Joy Indonesia,Media & Journalism,Jakarta,"Social Media Marketing, Content Marketing, Social Media Strategy, Media, Social Media, Content Management, Content Creation, Content Strategy, Digital Media"
